編號,縣市別,診所名稱,順天堂,莊松榮,立康(康福顆粒),勝昌,勸奉堂,華佗,天一,漢聖,天明,科達,富田,仙豐,更新時間,公費清冠一號,自費清冠一號,星期日特約門診,診療長新冠症狀,是否提供公費,電話,地址,,,,,,,,,,,
1,基隆市,同仁堂中醫診所,28,0,0,0,40,0,0,0,0,0,0,0,2023-02-09 10:28:34,是,是,,是,是,02-24227077,基隆市中山區西定路117號,,,,,,,,,,,
2,基隆市,邵秉家中醫診所,10,0,0,0,0,0,0,0,0,0,0,0,2023-02-08 17:33:20,是,是,,是,是,02 24277296,基隆市中正區義一路15號,,,,,,,,,,,
3,基隆市,李上知中醫診所,0,0,0,0,0,0,0,0,0,0,0,51,2023-02-08 09:54:09,是,是,,是,是,02-24274511,基隆市信義區仁一路25號1樓,,,,,,,,,,,
4,基隆市,聖康中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2023-02-02 10:37:33,是,,,,是,02 24302899,基隆市安樂區安樂路二段96號,,,,,,,,,,,
5,基隆市,衛生福利部基隆醫院,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-24292525#3705,基隆市信義區信二路268號,,,,,,,,,,,
6,基隆市,基隆長庚紀念醫院,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,"02-24313131#6320,6321",基隆市安樂區麥金路222號,,,,,,,,,,,
7,基隆市,忠生中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-24259972,基隆市中正區義二路142號,,,,,,,,,,,
8,基隆市,明和中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-24270836,基隆市義一路90號,,,,,,,,,,,
9,基隆市,佳緣中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-24568827,基隆市七堵區明德一路61號,,,,,,,,,,,
10,基隆市,良德堂中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-24274987,基隆市仁愛區南榮路29號,,,,,,,,,,,
11,基隆市,德勳中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-24261268,基隆市愛六路18號,,,,,,,,,,,
12,基隆市,百草堂中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02-24277381,基隆市孝二路81號2樓,,,,,,,,,,,
13,基隆市,逢安中醫診所,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-20 00:00:00,,,,,是,02 24332331,基隆市安樂區麥金路451號1樓,,,,,,,,,,,
